146.05 19.01 195 51 -176 103 87 -39 1.541 25 201902121234A  
-35.87 35.26 193 81 -176 102 86 -9 2.221 25 201902141957A  
152.13 -3.33 72 35 -100 263 55 -83 4.688 25 201902171435A  
-77.09 -2.26 163 26 -55 305 69 -106 2.123 27 201902221017A  
-70.14 -14.78 144 20 -47 279 75 -104 4.291 26 201903010850A  
146.86 41.98 225 62 -153 122 66 -30 1.283 25 201903020322A  
-177.58 -31.92 201 23 95 15 67 88 4.940 25 201903061546A  
126.20 10.35 160 36 69 5 57 104 1.531 25 201903081506A  
-178.61 -17.81 35 39 -156 286 75 -54 3.177 25 201903100812A  
152.09 -10.13 35 88 -179 305 89 -2 1.487 25 201903101248A  
-65.90 -17.74 157 52 150 267 67 42 4.188 25 201903150503A  
167.48 -15.58 11 28 95 186 62 87 3.172 25 201903201523A  
-76.31 4.62 201 9 -69 360 81 -93 1.661 25 201903231921A  
126.36 1.77 19 40 96 192 51 85 2.105 25 201903240437A  
160.11 50.42 42 38 -97 231 53 -85 2.572 25 201903282206A  
151.06 -5.94 244 38 70 88 54 105 2.481 25 201903301120A  
-81.05 -1.99 351 15 87 175 75 91 2.840 25 201903310704A  
65.23 -17.77 59 82 -8 150 82 -172 1.247 25 201904011839A  
177.97 52.17 100 74 -172 7 82 -17 4.923 25 201904022135A  
-27.45 -56.02 295 12 -16 40 87 -101 6.256 25 201904051614A  
124.86 -6.92 164 34 -165 61 81 -57 3.311 25 201904062155A  
-24.60 -58.71 293 40 135 61 63 59 7.753 25 201904091754A  
143.35 40.37 192 15 74 29 75 94 1.739 25 201904110818A  
122.56 -1.85 43 83 -175 313 85 -7 1.773 26 201904121140A  
-172.70 -15.36 265 40 -119 120 56 -68 1.591 25 201904121223A  
148.73 -6.72 249 23 67 94 69 99 1.778 25 201904121451A  
121.40 24.09 68 40 128 202 60 63 2.344 25 201904180501A  
139.35 -51.10 358 82 -1 88 89 -172 3.986 25 201904181446A  
120.39 15.13 329 86 -3 59 87 -176 1.548 25 201904220911A  
-27.06 -56.35 289 60 0 199 90 150 1.279 25 201904221449A  
125.16 11.88 70 21 144 194 78 73 5.901 25 201904230537A  
-178.78 -24.71 143 14 -129 3 79 -81 1.131 25 201904231420A  
94.67 28.35 208 9 21 97 87 99 1.769 25 201904232015A  
57.14 10.94 119 66 179 210 89 24 3.836 25 201904291419A  
160.10 -6.89 154 56 -34 265 62 -141 2.542 25 201905030725A  
146.49 -7.06 265 22 -112 108 70 -81 6.324 26 201905062119A  
131.92 31.78 209 24 87 32 66 91 3.126 25 201905092348A  
-82.87 8.52 95 82 4 4 86 172 1.526 25 201905121924A  
152.52 -4.03 47 86 179 137 89 4 2.813 27 201905141258A  
152.98 -4.66 326 69 7 233 84 159 1.081 25 201905172237A  
169.68 -21.74 318 31 77 153 60 98 4.440 25 201905190123A  
169.61 -21.67 318 32 60 172 63 107 1.601 25 201905191427A  
169.61 -21.65 316 32 72 157 60 101 4.297 25 201905191456A  
-178.23 51.26 269 30 119 56 64 74 1.393 25 201905230845A  
-75.36 -5.25 166 33 -94 351 57 -87 1.228 28 201905260741A  
-89.55 13.07 77 30 -139 310 71 -66 0.981 26 201905300903A  
-176.13 -21.77 264 12 -24 17 85 -101 1.313 25 201905301538A  
126.54 6.22 197 30 125 338 66 72 2.089 25 201905311012A
